name,longName,patch,Eflat
Respect,A Little Respect,0,*
SmThgns,All The Small Things,0,
ThngsIDone,All These Things That I've Done,0,*
Girl,Are You Gonna Be My Girl,0,
Basket,Basket Case,0,*
Bbop,Blitzkrieg Bop,0,
Bohmn,Bohemian Like You,0,
Boys,Boys of Summer,0,*
Buck,Buck Rogers,0,
Dagger,Chelsea Dagger,0,
Cigs,Cigarettes & Alcohol,0,
Common,Common People ,0,
Creep,,0,
Dakota,,0,
Dancing,Dancing in the Dark,0,*
Disco,Disco 2000,0,
Anger,Don't Look Back in Anger,0,
DontStp,Don't Stop Me Now,0,*
Everlong,,0,DropD
Fire,,0,
Mars,Girl From Mars,0,
Handle,Hard to Handle,0,
NiceDay,Have a Nice Day,0,
Hi&Dry,High and Dry,0,
Believe,I Believe in a Thing Called Love,0,*
DncFlor,I bet That You Look Good on the Dancefloor,0,
RnR,I Love Rock 'N Roll,0,
Riot,I Predict a Riot,0,
Killing,Killing In The Name ,2,DropD
Fly,Learn to Fly,0,
Calling,London Calling,0,
Lucky,Lucky Man,3,
Brightside,Mr Brightside,0,*
Hero,Mr Hero,0,
Not19,Not Nineteen Forever,0,
Paranoid,,0,
Parklife,,0,
Vacant,Pretty Vacant,0,
Mary,Proud Mary ,0,
Rocks,,0,
SOF,Sex on Fire,0,
Sanctuary,She Sells Sanctuary,0,
Electric,She's Electric,0,
Punk,Sheena is a Punk Rocker,0,
SitDwn,Sit Down,0,
Song 2,,0,
SCoM,Sweet Child of Mine,0,*
Kicks,Teenage Kicks,0,
Dirtbag,Teenage Dirtbag,0,
Entrtmnt,That's Entertainment,0,
Times,Times Like These,0,
Malic,Town Called Malice,0,
Use,Use Somebody,0,
Valerie,,0,
Sup,,0,
RainOn,Why Does It Always Rain On Me?,0,
With,With or Without You,1,
20thCBoy,20th Century Boy,0,
